issue_type,row_ids,detail
POSSIBLE_MULTI_CAMPUS,922;923,"'Delta State College of Nursing Sciences, Warri Campus' vs 'Delta State College of Nursing Sciences, Eku Campus', differs only by a campus/branch word. Confirm by hand."
POSSIBLE_MULTI_CAMPUS,922;924,"'Delta State College of Nursing Sciences, Warri Campus' vs 'Delta State College of Nursing Sciences, Asaba Campus', differs only by a campus/branch word. Confirm by hand."
POSSIBLE_MULTI_CAMPUS,923;924,"'Delta State College of Nursing Sciences, Eku Campus' vs 'Delta State College of Nursing Sciences, Asaba Campus', differs only by a campus/branch word. Confirm by hand."
MEDIUM_CONFIDENCE_DUPLICATE,924;928,"'Delta State College of Nursing Sciences, Asaba Campus' vs 'Soarster College of Nursing Science, Asaba, Delta State', ratio=0.76, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,345;469,"'Federal Polytechnic, Ado Ekiti' vs 'Ajayi Polytechnic, Ara-Ekiti', ratio=0.76, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,345;470,"'Federal Polytechnic, Ado Ekiti' vs 'Crown Polytechnic, Ado-Ekiti,', ratio=0.81, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,345;472,"'Federal Polytechnic, Ado Ekiti' vs 'Teedek Polytechnic, Ilogbo-Ekiti', ratio=0.77, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,345;473,"'Federal Polytechnic, Ado Ekiti' vs 'The Polytechnic, Omuo-Ekiti', ratio=0.77, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,470;473,"'Crown Polytechnic, Ado-Ekiti,' vs 'The Polytechnic, Omuo-Ekiti', ratio=0.75, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,472;473,"'Teedek Polytechnic, Ilogbo-Ekiti' vs 'The Polytechnic, Omuo-Ekiti', ratio=0.81, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,703;706,"'Ekiti State College of Health Sciences andTechnology, Ijero Ekiti' vs 'Fabotas College of Health Science and Technology, Ado Ekiti', ratio=0.82, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,703;774,"'Ekiti State College of Health Sciences andTechnology, Ijero Ekiti' vs 'Havilah College of Health Sciences and Technology Ise-Ekiti, Ekiti State', ratio=0.76, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,706;774,"'Fabotas College of Health Science and Technology, Ado Ekiti' vs 'Havilah College of Health Sciences and Technology Ise-Ekiti, Ekiti State', ratio=0.76, states: Ekiti / Ekiti."
MEDIUM_CONFIDENCE_DUPLICATE,644;745,"'Khemsafe College of Management, Science, and Technology, Kaduna, Kaduna State' vs 'Penfield College of Health Sciences and Technology, Kaduna, Kaduna State', ratio=0.83, states: Kaduna / Kaduna."
